frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
43,1435,732.10,478.43,1198.88,871.68,detected,CONFIRMED,0,blue_hsv_shape,0.0067,0.1392,1.5010,1.1671,-0.0064,0.3250,0.920,1.1497,-0.0067,0.3250,1.1671,-0.0064,0.3250,0.0394,0.0394,0.0394,0.698,0.0245
44,1468,728.79,477.98,1206.80,873.45,detected,CONFIRMED,0,blue_hsv_shape,0.0095,0.1409,1.4986,1.1605,-0.0064,0.3250,0.924,1.1468,-0.0095,0.3250,1.1605,-0.0064,0.3250,0.0394,0.0394,0.0394,0.672,0.0147
45,1502,725.11,478.07,1215.37,879.98,detected,CONFIRMED,0,blue_hsv_shape,0.0125,0.1470,1.4899,1.1529,-0.0069,0.3250,0.927,1.1362,-0.0125,0.3250,1.1529,-0.0069,0.3250,0.0394,0.0394,0.0394,0.640,0.0514
46,1535,721.05,477.93,1222.23,883.65,detected,CONFIRMED,0,blue_hsv_shape,0.0141,0.1504,1.4851,1.1453,-0.0078,0.3250,0.930,1.1302,-0.0141,0.3250,1.1453,-0.0078,0.3250,0.0393,0.0393,0.0393,0.612,0.0264
47,1568,716.81,477.59,1227.89,883.45,detected,CONFIRMED,0,blue_hsv_shape,0.0150,0.1502,1.4853,1.1389,-0.0088,0.3250,0.933,1.1305,-0.0150,0.3250,1.1389,-0.0088,0.3250,0.0393,0.0393,0.0393,0.596,0.0044
48,1602,714.38,477.42,1230.90,882.82,detected,CONFIRMED,0,blue_hsv_shape,0.0153,0.1496,1.4861,1.1337,-0.0098,0.3250,0.933,1.1316,-0.0153,0.3250,1.1337,-0.0098,0.3250,0.0393,0.0393,0.0393,0.592,0.0036
49,1635,711.18,477.38,1238.43,882.03,detected,CONFIRMED,0,blue_hsv_shape,0.0180,0.1489,1.4872,1.1296,-0.0112,0.3250,0.936,1.1328,-0.0180,0.3250,1.1296,-0.0112,0.3250,0.0392,0.0392,0.0392,0.599,0.0124
50,1668,707.61,477.82,1246.50,879.79,detected,CONFIRMED,0,blue_hsv_shape,0.0207,0.1468,1.4902,1.1271,-0.0130,0.3250,0.939,1.1364,-0.0207,0.3250,1.1271,-0.0130,0.3250,0.0392,0.0392,0.0392,0.617,0.0303
51,1702,703.61,478.21,1252.33,878.19,detected,CONFIRMED,0,blue_hsv_shape,0.0219,0.1453,1.4923,1.1257,-0.0148,0.3250,0.941,1.1390,-0.0219,0.3250,1.1257,-0.0148,0.3250,0.0392,0.0392,0.0392,0.643,0.0331
52,1735,701.56,478.03,1258.83,877.08,detected,CONFIRMED,0,blue_hsv_shape,0.0246,0.1443,1.4938,1.1252,-0.0169,0.3250,0.943,1.1408,-0.0246,0.3250,1.1252,-0.0169,0.3250,0.0391,0.0391,0.0391,0.673,0.0392
