frame_id,timestamp_ms,x_world_raw_strict,y_world_raw_strict,x_world_filtered_strict,y_world_filtered_strict,x_world_raw_waypoint_calibrated,y_world_raw_waypoint_calibrated,x_world_filtered_waypoint_calibrated,y_world_filtered_waypoint_calibrated,z_world
92,3070,2.5999,0.0956,2.5952,0.0692,5.5958,-0.1085,5.6208,-0.0622,0.3250
93,3103,2.6130,0.1026,2.6080,0.0817,5.6322,-0.1122,5.6473,-0.0766,0.3250
94,3136,2.5951,0.1087,2.6152,0.0935,5.5575,-0.1367,5.6546,-0.0935,0.3250
95,3170,2.5869,0.1188,2.6191,0.1052,5.5116,-0.1616,5.6501,-0.1128,0.3250
96,3203,2.5481,0.1298,2.6145,0.1170,5.3537,-0.2101,5.6144,-0.1385,0.3250
97,3237,2.5262,0.1398,2.6053,0.1288,5.2587,-0.2447,5.5626,-0.1671,0.3250
98,3270,2.5136,0.1445,2.5941,0.1394,5.2057,-0.2625,5.5048,-0.1953,0.3250
99,3303,2.5113,0.1531,2.5829,0.1498,5.1836,-0.2805,5.4479,-0.2228,0.3250
100,3337,2.5138,0.1892,2.5736,0.1647,5.1351,-0.3466,5.3904,-0.2577,0.3250
101,3370,2.5910,0.2176,2.5785,0.1826,5.3692,-0.3448,5.3798,-0.2877,0.3250
102,3403,2.6509,0.2350,2.5935,0.2010,5.5586,-0.3344,5.4048,-0.3116,0.3250
103,3437,2.6902,0.2438,2.6140,0.2183,5.6867,-0.3228,5.4514,-0.3296,0.3250
104,3470,2.7222,0.2483,2.6380,0.2339,5.7955,-0.3083,5.5137,-0.3416,0.3250
105,3504,2.7468,0.2503,2.6637,0.2472,5.8814,-0.2944,5.5854,-0.3482,0.3250
106,3537,2.7642,0.2822,2.6902,0.2642,5.8933,-0.3421,5.6544,-0.3611,0.3250
107,3570,2.7796,0.3050,2.7160,0.2825,5.9130,-0.3738,5.7186,-0.3772,0.3250
108,3604,2.7863,0.3166,2.7394,0.3001,5.9186,-0.3910,5.7753,-0.3935,0.3250
109,3637,2.7950,0.3279,2.7609,0.3167,5.9323,-0.4060,5.8266,-0.4094,0.3250
110,3670,2.8055,0.3380,2.7810,0.3324,5.9539,-0.4175,5.8744,-0.4245,0.3250
111,3704,2.8147,0.3497,2.7995,0.3474,5.9688,-0.4329,5.9175,-0.4395,0.3250
112,3737,2.7712,0.3546,2.8067,0.3606,5.8034,-0.4734,5.9225,-0.4591,0.3250
113,3770,2.7425,0.3557,2.8065,0.3714,5.6980,-0.4960,5.9046,-0.4796,0.3250
