frame_id,timestamp_ms,status,x1,y1,x2,y2,bbox_width_px,bbox_height_px,conf,detector_source,raw_x_cam,raw_y_cam,raw_z_cam,filtered_x_cam,filtered_y_cam,filtered_z_cam,raw_x_world,raw_y_world,raw_z_world,filtered_x_world,filtered_y_world,filtered_z_world,height_x_cam,height_y_cam,height_z_cam,height_x_world,height_y_world,height_z_world,ground_model_centroid_x_cam,ground_model_centroid_y_cam,ground_model_centroid_z_cam,ground_model_centroid_x_world,ground_model_centroid_y_world,ground_model_centroid_z_world,ground_contact_x_world,ground_contact_y_world,ground_contact_z_world,strict_raw_x_world,strict_raw_y_world,strict_raw_z_world,strict_filtered_x_world,strict_filtered_y_world,strict_filtered_z_world,height_ground_depth_delta_m,height_ground_world_xy_delta_m,used_height_fallback,blur_laplacian_var,brightness_mean,contrast_std,is_blurry,is_low_light,flow_points,flow_quality
20,667,detected,783.67,480.95,1162.17,826.01,378.49,345.07,0.914,blue_hsv_shape,0.0275,0.2941,2.8627,0.0275,0.2941,2.8627,2.6890,-0.0275,0.3250,2.6895,-0.0418,0.3250,0.0241,0.2120,2.6160,2.4720,-0.0241,0.4681,0.0275,0.2941,2.8627,2.6890,-0.0275,0.3250,2.6890,-0.0275,0.0000,2.6890,-0.0275,0.3250,2.6895,-0.0418,0.3250,0.2466,0.2170,0,127.5743,120.9755,72.8970,0,0,80,0.9810
21,701,detected,782.80,480.96,1164.30,827.94,381.50,346.97,0.915,blue_hsv_shape,0.0287,0.2965,2.8538,0.0287,0.2965,2.8538,2.6799,-0.0287,0.3250,2.6800,-0.0417,0.3250,0.0252,0.2127,2.6012,2.4576,-0.0252,0.4713,0.0287,0.2965,2.8538,2.6799,-0.0287,0.3250,2.6799,-0.0287,0.0000,2.6799,-0.0287,0.3250,2.6800,-0.0417,0.3250,0.2526,0.2223,0,127.2861,121.2063,72.7297,0,0,80,0.9797
22,734,detected,781.41,480.84,1166.42,827.97,385.01,347.13,0.913,blue_hsv_shape,0.0295,0.2965,2.8537,0.0295,0.2965,2.8537,2.6797,-0.0295,0.3250,2.6724,-0.0417,0.3250,0.0258,0.2125,2.6001,2.4565,-0.0258,0.4718,0.0295,0.2965,2.8537,2.6797,-0.0295,0.3250,2.6797,-0.0295,0.0000,2.6797,-0.0295,0.3250,2.6724,-0.0417,0.3250,0.2536,0.2232,0,127.5391,121.4820,72.5554,0,0,80,0.9803
23,767,detected,780.58,480.77,1167.63,827.76,387.05,346.98,0.913,blue_hsv_shape,0.0299,0.2963,2.8547,0.0299,0.2963,2.8547,2.6807,-0.0299,0.3250,2.6666,-0.0415,0.3250,0.0262,0.2123,2.6012,2.4576,-0.0262,0.4717,0.0299,0.2963,2.8547,2.6807,-0.0299,0.3250,2.6807,-0.0299,0.0000,2.6807,-0.0299,0.3250,2.6666,-0.0415,0.3250,0.2534,0.2231,0,127.5061,121.4835,72.5570,0,0,80,0.9999
24,801,detected,779.25,480.82,1169.11,828.41,389.85,347.59,0.914,blue_hsv_shape,0.0301,0.2971,2.8517,0.0301,0.2971,2.8517,2.6776,-0.0301,0.3250,2.6616,-0.0412,0.3250,0.0263,0.2126,2.5965,2.4530,-0.0263,0.4726,0.0301,0.2971,2.8517,2.6776,-0.0301,0.3250,2.6776,-0.0301,0.0000,2.6776,-0.0301,0.3250,2.6616,-0.0412,0.3250,0.2552,0.2246,0,128.0256,121.8113,72.2854,0,0,80,0.9791
25,834,detected,777.58,480.97,1170.80,830.63,393.21,349.66,0.913,blue_hsv_shape,0.0300,0.2998,2.8416,0.0300,0.2998,2.8416,2.6672,-0.0300,0.3250,2.6558,-0.0407,0.3250,0.0262,0.2135,2.5807,2.4375,-0.0262,0.4759,0.0300,0.2998,2.8416,2.6672,-0.0300,0.3250,2.6672,-0.0300,0.0000,2.6672,-0.0300,0.3250,2.6558,-0.0407,0.3250,0.2609,0.2297,0,125.7674,122.1066,72.1674,0,0,80,0.9775
26,868,detected,775.25,480.61,1173.10,833.36,397.85,352.75,0.914,blue_hsv_shape,0.0298,0.3031,2.8293,0.0298,0.3031,2.8293,2.6544,-0.0298,0.3250,2.6489,-0.0401,0.3250,0.0259,0.2137,2.5576,2.4151,-0.0259,0.4816,0.0298,0.3031,2.8293,2.6544,-0.0298,0.3250,2.6544,-0.0298,0.0000,2.6544,-0.0298,0.3250,2.6489,-0.0401,0.3250,0.2717,0.2393,0,126.0521,122.2179,72.0685,0,0,80,0.9797
27,901,detected,772.86,480.68,1174.38,840.80,401.53,360.12,0.916,blue_hsv_shape,0.0284,0.3119,2.7962,0.0284,0.3119,2.7962,2.6202,-0.0284,0.3250,2.6369,-0.0392,0.3250,0.0244,0.2160,2.5038,2.3626,-0.0244,0.4933,0.0284,0.3119,2.7962,2.6202,-0.0284,0.3250,2.6202,-0.0284,0.0000,2.6202,-0.0284,0.3250,2.6369,-0.0392,0.3250,0.2924,0.2576,0,126.2574,122.2191,71.9795,0,0,80,0.9790
28,934,detected,771.48,480.47,1175.07,845.36,403.59,364.88,0.916,blue_hsv_shape,0.0274,0.3173,2.7762,0.0274,0.3173,2.7762,2.5995,-0.0274,0.3250,2.6230,-0.0381,0.3250,0.0234,0.2169,2.4702,2.3299,-0.0234,0.5011,0.0274,0.3173,2.7762,2.5995,-0.0274,0.3250,2.5995,-0.0274,0.0000,2.5995,-0.0274,0.3250,2.6230,-0.0381,0.3250,0.3060,0.2697,0,126.2531,122.2197,71.9800,0,0,80,1.0000
29,968,detected,769.95,478.92,1177.22,836.72,407.26,357.81,0.915,blue_hsv_shape,0.0285,0.3071,2.8142,0.0285,0.3071,2.8142,2.6389,-0.0285,0.3250,2.6186,-0.0372,0.3250,0.0245,0.2122,2.5209,2.3801,-0.0245,0.4926,0.0285,0.3071,2.8142,2.6389,-0.0285,0.3250,2.6389,-0.0285,0.0000,2.6389,-0.0285,0.3250,2.6186,-0.0372,0.3250,0.2933,0.2588,0,126.4602,122.1862,71.9414,0,0,80,0.9821
