frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
49,1635,711.26,476.61,1236.25,873.12,detected,CONFIRMED,0,blue_hsv_shape,0.0145,0.3554,2.6340,2.4523,-0.0145,0.3250,0.936,2.4792,-0.0274,0.3250,2.4523,-0.0145,0.3250,0.0392,0.0392,0.0392,0.329,0.0549
50,1668,707.61,476.93,1244.07,874.28,detected,CONFIRMED,0,blue_hsv_shape,0.0175,0.3560,2.6319,2.4500,-0.0175,0.3250,0.938,2.4743,-0.0315,0.3250,2.4500,-0.0175,0.3250,0.0392,0.0392,0.0392,0.378,0.0751
51,1702,705.63,477.07,1250.84,874.95,detected,CONFIRMED,0,blue_hsv_shape,0.0212,0.3564,2.6300,2.4482,-0.0212,0.3250,0.940,2.4715,-0.0362,0.3250,2.4482,-0.0212,0.3250,0.0392,0.0392,0.0392,0.424,0.0860
52,1735,703.86,477.18,1258.27,876.28,detected,CONFIRMED,0,blue_hsv_shape,0.0255,0.3570,2.6280,2.4461,-0.0255,0.3250,0.943,2.4660,-0.0417,0.3250,2.4461,-0.0255,0.3250,0.0391,0.0391,0.0391,0.461,0.0668
53,1768,699.94,477.17,1262.94,877.03,detected,CONFIRMED,0,blue_hsv_shape,0.0294,0.3575,2.6261,2.4441,-0.0294,0.3250,0.944,2.4629,-0.0424,0.3250,2.4441,-0.0294,0.3250,0.0391,0.0391,0.0391,0.493,0.0506
54,1802,698.68,477.16,1265.22,877.90,detected,CONFIRMED,0,blue_hsv_shape,0.0330,0.3580,2.6243,2.4423,-0.0330,0.3250,0.945,2.4593,-0.0434,0.3250,2.4423,-0.0330,0.3250,0.0391,0.0391,0.0391,0.522,0.0384
55,1835,698.21,477.24,1273.36,880.34,detected,CONFIRMED,0,blue_hsv_shape,0.0375,0.3588,2.6214,2.4392,-0.0375,0.3250,0.944,2.4492,-0.0508,0.3250,2.4392,-0.0375,0.3250,0.0391,0.0391,0.0391,0.533,0.0322
56,1869,697.14,477.26,1280.25,882.77,detected,CONFIRMED,0,blue_hsv_shape,0.0425,0.3598,2.6173,2.4350,-0.0425,0.3250,0.945,2.4393,-0.0563,0.3250,2.4350,-0.0425,0.3250,0.0391,0.0391,0.0391,0.531,0.0244
57,1902,693.59,477.24,1285.12,885.14,detected,CONFIRMED,0,blue_hsv_shape,0.0470,0.3612,2.6124,2.4299,-0.0470,0.3250,0.946,2.4297,-0.0574,0.3250,2.4299,-0.0470,0.3250,0.0391,0.0391,0.0391,0.522,0.0083
58,1935,690.43,477.13,1287.46,886.43,detected,CONFIRMED,0,blue_hsv_shape,0.0507,0.3625,2.6074,2.4248,-0.0507,0.3250,0.945,2.4244,-0.0565,0.3250,2.4248,-0.0507,0.3250,0.0390,0.0390,0.0390,0.517,0.0010
59,1969,688.73,477.42,1289.29,893.02,detected,CONFIRMED,0,blue_hsv_shape,0.0538,0.3649,2.5987,2.4157,-0.0538,0.3250,0.946,2.3981,-0.0562,0.3250,2.4157,-0.0538,0.3250,0.0390,0.0390,0.0390,0.482,0.1211
60,2002,688.13,477.35,1292.86,896.92,detected,CONFIRMED,0,blue_hsv_shape,0.0568,0.3676,2.5884,2.4051,-0.0568,0.3250,0.944,2.3826,-0.0588,0.3250,2.4051,-0.0568,0.3250,0.0390,0.0390,0.0390,0.439,0.0726
61,2035,688.01,476.91,1295.59,895.54,detected,CONFIRMED,0,blue_hsv_shape,0.0597,0.3697,2.5806,2.3970,-0.0597,0.3250,0.943,2.3881,-0.0614,0.3250,2.3970,-0.0597,0.3250,0.0390,0.0390,0.0390,0.421,0.0040
62,2069,688.15,476.76,1297.79,895.28,detected,CONFIRMED,0,blue_hsv_shape,0.0626,0.3714,2.5743,2.3905,-0.0626,0.3250,0.943,2.3891,-0.0636,0.3250,2.3905,-0.0626,0.3250,0.0391,0.0391,0.0391,0.418,0.0040
63,2102,688.35,476.69,1298.68,894.87,detected,CONFIRMED,0,blue_hsv_shape,0.0652,0.3727,2.5694,2.3854,-0.0652,0.3250,0.943,2.3907,-0.0647,0.3250,2.3854,-0.0652,0.3250,0.0391,0.0391,0.0391,0.428,0.0138
64,2135,688.66,476.75,1299.81,895.43,detected,CONFIRMED,0,blue_hsv_shape,0.0675,0.3738,2.5652,2.3810,-0.0675,0.3250,0.943,2.3885,-0.0661,0.3250,2.3810,-0.0675,0.3250,0.0391,0.0391,0.0391,0.443,0.0087
65,2169,688.53,476.82,1301.61,896.16,detected,CONFIRMED,0,blue_hsv_shape,0.0697,0.3749,2.5613,2.3770,-0.0697,0.3250,0.942,2.3856,-0.0676,0.3250,2.3770,-0.0697,0.3250,0.0391,0.0391,0.0391,0.461,0.0093
66,2202,688.45,476.89,1302.45,897.00,detected,CONFIRMED,0,blue_hsv_shape,0.0715,0.3758,2.5577,2.3733,-0.0715,0.3250,0.942,2.3823,-0.0683,0.3250,2.3733,-0.0715,0.3250,0.0391,0.0391,0.0391,0.480,0.0103
